,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,batch_size,lr,RMSE,sMAPE,MAPE,type
0,21,24,13,1,7,0.09276013514083323,7,True,256,0.0015313212910302765,0.05013403668999672,7.139849662780762,7.669996470212936,3
1,21,12,29,3,7,0.08260541803350857,8,False,64,0.0012819129094952517,0.051743827760219574,7.7866628766059875,8.193240314722061,3
2,2,17,31,2,5,0.20870958479378157,6,False,256,0.003975299304148977,0.04876583814620972,6.924578547477722,7.6383523643016815,3
3,29,12,27,3,2,0.01860738463788204,10,False,32,0.0024623811239916915,0.10301523655653,17.06451177597046,17.07429587841034,3
4,13,2,27,3,7,0.08137506363904633,8,False,256,0.0017718131919232426,0.04932437092065811,7.005538046360016,7.483435422182083,3
5,18,23,13,3,8,0.18299502341018214,6,False,128,0.004339197985787462,0.049125444144010544,6.87495544552803,7.555905729532242,3
6,3,5,30,2,2,0.020444230472420055,10,True,256,0.0013831128886474873,0.05254052206873894,7.896838337182999,8.328922092914581,3
7,9,28,32,2,7,0.2880219551714503,9,False,256,0.0016991204304092834,0.049331776797771454,6.9687120616436005,7.490396499633789,3
8,7,6,30,2,8,0.2671063564258172,8,False,256,0.0026603330416723175,0.048825453966856,6.838283687829971,7.466375082731247,3
9,8,26,21,2,8,0.2735641746013075,6,False,256,0.003791297657046355,0.04859452322125435,6.794462352991104,7.413596659898758,3
10,29,31,20,1,5,0.23794452027338092,7,True,32,0.0035933974244492313,0.07326102256774902,11.406020075082779,10.853353887796402,3
11,1,20,21,2,5,0.20105682967697935,6,False,128,0.004753648076697215,0.04909254610538483,6.972017139196396,7.750354707241058,3
12,6,18,22,2,4,0.2327218600063647,6,False,64,0.0037085441199220847,0.058311402797698975,9.483994543552399,9.426891058683395,3
13,11,14,8,2,4,0.15242541582868055,7,False,256,0.0035251210714586003,0.0487268790602684,6.833598017692566,7.5371794402599335,3
14,13,12,8,2,3,0.14828832557302782,7,True,256,0.0031724396219823575,0.048260029405355453,6.805139034986496,7.437826693058014,3
15,15,9,17,2,3,0.12433025425266589,7,True,256,0.0031723147566725222,0.05047322437167168,7.29193389415741,7.766914367675781,3
16,17,24,9,1,3,0.15737080003896145,7,True,64,0.002988631299792743,0.05026398226618767,7.234267890453339,7.876768708229065,3
17,11,21,24,2,6,0.12523944608605286,9,True,32,0.0023469297324705085,0.07610150426626205,12.163224816322327,12.226488441228867,3
18,24,29,17,2,3,0.2514339414137907,6,True,128,0.004993367193677636,0.04842887073755264,6.750597059726715,7.435771822929382,3
19,25,31,12,1,3,0.24061818678528354,7,True,128,0.004919684745409554,0.048540279269218445,6.8096257746219635,7.463902235031128,3
0,21,26,19,1,8,0.05522404291529898,10,False,64,0.0015649090391702987,0.06785371899604797,11.034978181123734,11.154985427856445,4
1,10,28,32,3,7,0.044553068416966865,10,True,128,0.003922217053719758,0.050583865493535995,8.034312725067139,8.23642984032631,4
2,24,13,21,3,2,0.2286018049852191,6,False,64,0.0028556805202781654,0.048103418201208115,7.130333781242371,7.893079519271851,4
3,1,2,17,2,7,0.006546957533301767,8,True,128,0.0020217827401630035,0.051790911704301834,8.222024887800217,8.445733785629272,4
4,27,20,14,1,3,0.12701013350634047,6,True,128,0.003098168317433293,0.0474388524889946,6.888016313314438,7.546107470989227,4
5,20,6,30,1,7,0.04742258009910783,6,True,256,0.001889026640892955,0.04749443754553795,7.000826299190521,7.597654312849045,4
6,6,15,25,1,5,0.11279350230107205,9,True,128,0.0031172459557678757,0.04906972870230675,7.36570730805397,7.8806377947330475,4
7,29,18,17,2,4,0.1808637365439861,9,False,64,0.003134746657864692,0.04725603759288788,6.8544186651706696,7.528173178434372,4
8,11,7,13,2,7,0.05729502374329321,9,False,32,0.004681884101092597,0.06664241850376129,9.397393465042114,10.073982179164886,4
9,2,8,28,3,8,0.27124884642965663,10,True,32,0.004502005154584209,0.08124998211860657,12.996470928192139,12.538100779056549,4
10,31,19,8,2,4,0.2030885956082324,8,False,64,0.003669749529062346,0.06579481810331345,9.781941026449203,9.178607910871506,4
11,31,22,13,1,3,0.1462015926224488,7,False,256,0.0025969001868568157,0.04776177927851677,6.935121864080429,7.513279467821121,4
12,26,21,14,2,4,0.18526993617843004,7,True,64,0.0034632489471974636,0.047547172755002975,7.04553946852684,7.568987458944321,4
13,27,31,9,1,2,0.12457763881233731,9,False,128,0.0023963376378868862,0.04751860722899437,6.835658103227615,7.55404606461525,4
14,17,17,23,2,4,0.17333121069145102,7,True,64,0.004154752632044969,0.05047040432691574,7.624548673629761,8.134512603282928,4
15,28,12,16,1,3,0.09752791219107976,8,False,128,0.003373698033012795,0.06255722790956497,11.395466327667236,11.271975189447403,4
16,23,24,11,2,5,0.24566182781406287,6,False,256,0.0029531732288583775,0.047472428530454636,6.915246695280075,7.538033276796341,4
17,18,18,18,1,3,0.29242773156198537,9,True,32,0.0010862585868966308,0.06790728867053986,10.797203332185745,9.966567903757095,4
18,13,13,21,2,5,0.15217790776901394,8,False,128,0.002354670906768788,0.05061967670917511,7.748004794120789,8.243383467197418,4
19,28,21,15,3,6,0.21352548123435572,7,True,64,0.004192778811210078,0.05445421114563942,8.22603777050972,8.260656893253326,4
0,31,20,14,2,4,0.08051619949645548,6,False,128,0.002576447523091466,0.047543201595544815,7.252015173435211,7.657492905855179,5
